step,type,branch,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,unusuallogin,isFlaggedFraud,Acct type,Date of transaction,Time of day,isFraud
-1.2960534637436454,3,55,-0.3511942825685769,-0.3365236845903428,-0.3436612044373603,0.0,0.0,-0.2608294407075608,0,0,8,1,0.0
-1.2960534637436454,3,54,-0.3806316382078753,-0.4065273460485028,-0.4085237279957148,0.0,0.0,-0.08867075763906296,0,1,9,1,0.0
-1.2960534637436454,4,54,-0.38684468840253966,-0.41643309429784975,-0.4174466378253932,0.0,0.0,-1.4659402221870457,0,0,11,1,1.0
-1.2960534637436454,1,7,-0.38684468840253966,-0.41643309429784975,-0.4174466378253932,21182.0,0.0,-1.6380989052555435,0,0,10,0,1.0
-1.2960534637436454,3,7,-0.34444521985711846,-0.39698034499463014,-0.4036899865060864,0.0,0.0,1.1164400238404217,0,0,10,1,0.0
-1.2960534637436454,3,7,-0.35865730273165,-0.3911943122456049,-0.39625307908315166,0.0,0.0,0.5999639746349283,0,0,12,1,0.0
-1.2960534637436454,3,25,-0.3584951554388338,-0.3337255363962114,-0.3400113294683754,0.0,0.0,1.4607573899774176,0,0,0,1,0.0
-1.2960534637436454,3,25,-0.37265870116561817,-0.4152623465694999,-0.4174466378253932,0.0,0.0,-0.08867075763906296,0,0,1,1,0.0
-1.2960534637436454,2,62,-0.35191292763826293,-0.41441884398931533,-0.4174466378253932,10845.0,157982.12,-1.1216228560500499,0,1,3,2,0.0
-1.2960534637436454,3,55,-0.37607065964516156,-0.40675209199796114,-0.4093125503953172,0.0,0.0,-0.08867075763906296,0,1,4,0,0.0
-1.2960534637436454,3,55,-0.37806097798582317,-0.4141343852039131,-0.41629160949796734,0.0,0.0,-0.08867075763906296,0,0,5,0,0.0
-1.2960534637436454,3,54,-0.34457211773845287,-0.41175668590179865,-0.4174466378253932,0.0,0.0,1.4607573899774176,0,0,7,1,0.0
-1.2960534637436454,3,54,-0.3723840141287099,-0.1798936246506978,-0.18767771425200214,0.0,0.0,0.7721226577034261,0,1,8,2,0.0
-1.2960534637436454,1,54,0.4582292793485023,-0.4093126912463921,-0.4174466378253932,5083.0,51513.44,0.2556466084979327,0,1,9,2,0.0
-1.2960534637436454,3,27,-0.38174064744073544,-0.4163066159288031,-0.4174466378253932,0.0,0.0,-1.6380989052555435,0,1,11,0,0.0
-1.2960534637436454,3,54,-0.38323906116692835,-0.40657107277088694,-0.4082413668706781,0.0,0.0,1.2885987069089198,0,0,10,0,0.0
-1.2960534637436454,3,54,-0.3850337175910822,-0.4094076675681297,-0.41079458496127025,0.0,0.0,0.5999639746349283,0,0,10,0,0.0
-1.2960534637436454,4,54,0.40720570086306324,-0.4161867200771046,-0.4174466378253932,22425.0,0.0,0.5999639746349283,0,0,12,0,0.0
-1.2960534637436454,2,54,-0.35317581623915195,-0.4112056351637962,-0.41652776967402955,29832.0,16896.7,-1.2937815391185479,0,1,0,0,0.0
-1.2960534637436454,2,7,-0.383580297616299,-0.41566388012773714,-0.4171006761711166,10330.0,0.0,-1.1216228560500499,0,0,1,0,0.0
-1.2960534637436454,3,7,-0.3732047902157469,-0.384615556335938,-0.3879982671050281,0.0,0.0,-0.9494641729815521,0,1,2,0,0.0
-1.2960534637436454,4,7,0.7629316515132173,-0.4114237985959064,-0.4174466378253932,6267.0,2719172.89,0.08348792542943487,0,1,3,2,0.0
-1.2960534637436454,3,7,-0.3651409060008289,-0.4163099071874772,-0.4174466378253932,0.0,0.0,-1.1216228560500499,0,1,4,2,0.0
